timestamp,actual_consumption,actual_pv,price_buy,price_sell,heat_load,cool_load,gas,pv_c
2020-01-03 02:00:00-07:00,572.5218227,-0.075,0.031,0.031,3723.05985,201.0573688,9.51,0
2020-01-03 03:00:00-07:00,571.7999969,-0.075,0.031,0.031,3897.153515,185.3485989,9.51,0
2020-01-03 04:00:00-07:00,664.1980379,-0.075,0.031,0.031,4034.293488,169.9072804,9.51,0
2020-01-03 05:00:00-07:00,694.0845069,-0.075,0.031,0.031,4562.35133,155.8903669,9.51,0
2020-01-03 06:00:00-07:00,1043.178681,-0.075,0.049,0.031,4735.501648,143.8070143,9.51,0
2020-01-03 07:00:00-07:00,1243.285642,-0.075,0.049,0.031,4539.140868,118.2504783,9.51,1.76
2020-01-03 08:00:00-07:00,1231.606413,10.81806231,0.049,0.031,3906.145669,145.493356,9.51,15.18
2020-01-03 09:00:00-07:00,1152.110759,25.4993238,0.049,0.031,3191.786289,208.3261352,9.51,29.26
2020-01-03 10:00:00-07:00,1158.195776,71.02737561,0.049,0.031,3008.429438,264.0212708,9.51,58.52
2020-01-03 11:00:00-07:00,1141.218759,18.19602514,0.049,0.031,2162.484015,326.2091052,9.51,25.74
2020-01-03 12:00:00-07:00,1123.238883,65.40015179,0.049,0.031,1738.15314,350.0673334,9.51,60.94
2020-01-03 13:00:00-07:00,1097.932824,47.08134075,0.049,0.031,1373.055616,355.3546241,9.51,46.86
2020-01-03 14:00:00-07:00,1091.435798,6.921306332,0.049,0.031,1240.038329,359.9044674,9.51,12.54
2020-01-03 15:00:00-07:00,1128.950939,41.94866705,0.049,0.031,1525.192242,356.7603919,9.51,27.06
2020-01-03 16:00:00-07:00,1250.2134,-0.075,0.049,0.031,1796.36963,334.6145087,9.51,4.4
2020-01-03 17:00:00-07:00,1460.516229,-0.075,0.049,0.031,2259.69424,314.6743132,9.51,0
2020-01-03 18:00:00-07:00,1379.428976,-0.075,0.049,0.031,2216.109042,271.733772,9.51,0
2020-01-03 19:00:00-07:00,1373.550703,-0.075,0.049,0.031,2355.158936,239.4767258,9.51,0
2020-01-03 20:00:00-07:00,1172.594743,-0.075,0.049,0.031,2596.630991,234.2909962,9.51,0
2020-01-03 21:00:00-07:00,1091.015483,-0.075,0.049,0.031,2852.557854,217.7250041,9.51,0
2020-01-03 22:00:00-07:00,907.0729844,-0.075,0.031,0.031,3188.585048,197.7166218,9.51,0
2020-01-03 23:00:00-07:00,787.8704726,-0.075,0.031,0.031,3488.331469,186.1887079,9.51,0
